page	pdf_page	row_index	hanzi	wupin	base	tone	quality	flags	initial	final	inventory_issue
123	1	0	月亮	yoeq1lian55	lian	55	weak_match	non_matched_quality:weak_match;candidate_headword_differs	l	ian	final_outside_compact_inventory
123	1	1	月亮婆婆	yoeq1lian55bo55bo52	lian	55	matched	candidate_headword_differs	l	ian	final_outside_compact_inventory
123	1	4	月亮光	yoeq1lian55kuaon52	lian	55	matched	ok	l	ian	final_outside_compact_inventory
123	1	5	月亮地下	yoeq1lian55di55gho52	lian	55	matched	ok	l	ian	final_outside_compact_inventory
123	1	7	刚圈	kaon33chioen52	chioen	52	weak_match	non_matched_quality:weak_match;candidate_headword_differs	ch	ioen	final_outside_compact_inventory
123	1	9	星宿	shin33shieu55	shieu	55	weak_match	non_matched_quality:weak_match;candidate_headword_differs	sh	ieu	final_outside_compact_inventory
123	1	12	五更晓	ng115kan55shiau52	ng	115	matched	ok	ng		final_outside_compact_inventory
123	1	14	牛郎星	gnieu11laon55shin52	gnieu	11	matched	candidate_headword_differs	gn	ieu	final_outside_compact_inventory
123	1	16	七簇星	chiq3tshoq5shin52	chiq	3	matched	candidate_headword_differs	ch	iq	final_outside_compact_inventory
124	2	10	鱼厣云	yu11ieen55yoen52	ieen	55	low_match	non_matched_quality:low_match;candidate_headword_differs		ieen	final_outside_compact_inventory
124	2	15	霹雳雷	phiq3liq5le52	phiq	3	matched	ok	ph	iq	final_outside_compact_inventory
124	2	15	霹雳雷	phiq3liq5le52	liq	5	matched	ok	l	iq	final_outside_compact_inventory
124	2	17	响雷	shian335le52	shian	335	weak_match	non_matched_quality:weak_match;candidate_headword_differs	sh	ian	final_outside_compact_inventory
124	2	19	霍闪娘娘	huoq3seen55gnian55gnian52	gnian	55	matched	ok	gn	ian	final_outside_compact_inventory
124	2	19	霍闪娘娘	huoq3seen55gnian55gnian52	gnian	52	matched	ok	gn	ian	final_outside_compact_inventory
125	3	11	葱管糖	tshon33kuoen55daon52	kuoen	55	matched	candidate_headword_differs	k	uoen	final_outside_compact_inventory
125	3	12	雪	shiq45	shiq	45	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
125	3	13	雪子	shiq3tsy55	shiq	3	matched	ok	sh	iq	final_outside_compact_inventory
125	3	14	雪石子	shiq3zaq5tsy52	shiq	3	low_match	non_matched_quality:low_match;candidate_headword_differs	sh	iq	final_outside_compact_inventory
126	4	5	秋赖柴	chieu33la55za52	chieu	33	matched	ok	ch	ieu	final_outside_compact_inventory
126	4	6	秋老虎	chieu33lau55hu52	chieu	33	matched	candidate_headword_differs	ch	ieu	final_outside_compact_inventory
